candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Кузьмін Ренат Равелійович,Донецька,Donetska,0.2,18,115823
Кузьмін Ренат Равелійович,Харківська,Kharkivska,0.17,15,1033847
Кузьмін Ренат Равелійович,Херсонська,Khersonska,0.16,16,439332
Кузьмін Ренат Равелійович,м.Київ,Kyiv,0.1,16,1380012
Кузьмін Ренат Равелійович,Полтавська,Poltavska,0.08,16,761748
Кузьмін Ренат Равелійович,Кіровоградська,Kirovohradska,0.08,16,467755
Кузьмін Ренат Равелійович,Сумська,Sumska,0.07,16,570645
Кузьмін Ренат Равелійович,Житомирська,Zhytomyrska,0.06,17,659335
Кузьмін Ренат Равелійович,Чернівецька,Chernivetska,0.06,16,431758
Кузьмін Ренат Равелійович,Чернігівська,Chernihivska,0.06,18,557295
Кузьмін Ренат Равелійович,Черкаська,Cherkaska,0.06,16,673734
Кузьмін Ренат Равелійович,Закарпатська,Zakarpatska,0.06,18,486273
Кузьмін Ренат Равелійович,Київська,Kyivska,0.05,16,996046
Кузьмін Ренат Равелійович,Рівненська,Rivnenska,0.04,18,614771
Кузьмін Ренат Равелійович,Хмельницька,Khmelnytska,0.04,17,728864
Кузьмін Ренат Равелійович,Вінницька,Vinnytska,0.03,17,895219
Кузьмін Ренат Равелійович,Волинська,Volynska,0.03,18,581796
Кузьмін Ренат Равелійович,Львівська,Lvivska,0.02,17,1544016
Кузьмін Ренат Равелійович,Тернопільська,Ternopilska,0.01,18,650087
Кузьмін Ренат Равелійович,Івано-Франківська,Ivano-Frankivska,0.01,18,796008
Куйбіда Василь Степанович,Донецька,Donetska,0.26,17,115823
Куйбіда Василь Степанович,Луганська,Luhanska,0.22,17,52239
Куйбіда Василь Степанович,Одеська,Odeska,0.09,19,836659
Куйбіда Василь Степанович,Запорізька,Zaporizka,0.09,18,735764
Куйбіда Василь Степанович,Івано-Франківська,Ivano-Frankivska,0.08,14,796008
Куйбіда Василь Степанович,Миколаївська,Mykolaivska,0.08,18,472522
Куйбіда Василь Степанович,Дніпропетровська,Dnipropetrovska,0.08,18,1465139
Куйбіда Василь Степанович,Львівська,Lvivska,0.07,14,1544016
Куйбіда Василь Степанович,Харківська,Kharkivska,0.07,17,1033847
Куйбіда Василь Степанович,Херсонська,Khersonska,0.07,18,439332
Куйбіда Василь Степанович,Житомирська,Zhytomyrska,0.07,16,659335
Куйбіда Василь Степанович,Закарпатська,Zakarpatska,0.07,17,486273
Куйбіда Василь Степанович,Волинська,Volynska,0.07,16,581796
Куйбіда Василь Степанович,Рівненська,Rivnenska,0.06,16,614771
Куйбіда Василь Степанович,Кіровоградська,Kirovohradska,0.06,18,467755
Куйбіда Василь Степанович,Чернігівська,Chernihivska,0.06,17,557295
Куйбіда Василь Степанович,Черкаська,Cherkaska,0.05,17,673734
Куйбіда Василь Степанович,Полтавська,Poltavska,0.05,18,761748
Куйбіда Василь Степанович,м.Київ,Kyiv,0.05,17,1380012
Куйбіда Василь Степанович,Хмельницька,Khmelnytska,0.05,16,728864
Куйбіда Василь Степанович,Київська,Kyivska,0.05,17,996046
Куйбіда Василь Степанович,Сумська,Sumska,0.04,18,570645
Куйбіда Василь Степанович,Тернопільська,Ternopilska,0.04,16,650087
Куйбіда Василь Степанович,Вінницька,Vinnytska,0.04,16,895219
Куйбіда Василь Степанович,Чернівецька,Chernivetska,0.04,17,431758
Ляшко Олег Валерійович,Чернігівська,Chernihivska,16.59,3,557295
Ляшко Олег Валерійович,Волинська,Volynska,14.55,3,581796
Ляшко Олег Валерійович,Рівненська,Rivnenska,13.23,3,614771
Ляшко Олег Валерійович,Черкаська,Cherkaska,11.88,3,673734
Ляшко Олег Валерійович,Хмельницька,Khmelnytska,11.82,3,728864
Ляшко Олег Валерійович,Кіровоградська,Kirovohradska,11.55,3,467755
Ляшко Олег Валерійович,Полтавська,Poltavska,10.64,3,761748
Ляшко Олег Валерійович,Чернівецька,Chernivetska,10.5,3,431758
Ляшко Олег Валерійович,Тернопільська,Ternopilska,10.12,3,650087
Ляшко Олег Валерійович,Київська,Kyivska,9.75,3,996046
Ляшко Олег Валерійович,Житомирська,Zhytomyrska,9.54,3,659335
Ляшко Олег Валерійович,Сумська,Sumska,9.33,3,570645
Ляшко Олег Валерійович,Івано-Франківська,Ivano-Frankivska,9.01,3,796008
Ляшко Олег Валерійович,Закарпатська,Zakarpatska,7.41,3,486273
Ляшко Олег Валерійович,Львівська,Lvivska,6.78,3,1544016
Ляшко Олег Валерійович,м.Київ,Kyiv,6.58,4,1380012
Ляшко Олег Валерійович,Дніпропетровська,Dnipropetrovska,6.29,4,1465139
Ляшко Олег Валерійович,Луганська,Luhanska,6.17,5,52239
Ляшко Олег Валерійович,Херсонська,Khersonska,5.87,5,439332
Ляшко Олег Валерійович,Вінницька,Vinnytska,5.55,3,895219
Ляшко Олег Валерійович,Миколаївська,Mykolaivska,5.22,5,472522
Ляшко Олег Валерійович,Запорізька,Zaporizka,4.91,7,735764
Ляшко Олег Валерійович,Харківська,Kharkivska,3.92,6,1033847
Ляшко Олег Валерійович,Одеська,Odeska,3.58,7,836659
Ляшко Олег Валерійович,Донецька,Donetska,2.9,8,115823
Маломуж Микола Григорович,Донецька,Donetska,0.37,15,115823
Маломуж Микола Григорович,Луганська,Luhanska,0.28,16,52239
Маломуж Микола Григорович,Закарпатська,Zakarpatska,0.18,14,486273
Маломуж Микола Григорович,Запорізька,Zaporizka,0.18,16,735764
Маломуж Микола Григорович,Одеська,Odeska,0.18,17,836659
Маломуж Микола Григорович,Дніпропетровська,Dnipropetrovska,0.17,16,1465139
Маломуж Микола Григорович,Херсонська,Khersonska,0.16,15,439332
Маломуж Микола Григорович,Миколаївська,Mykolaivska,0.16,16,472522
Маломуж Микола Григорович,Кіровоградська,Kirovohradska,0.14,15,467755
Маломуж Микола Григорович,Хмельницька,Khmelnytska,0.14,14,728864
Маломуж Микола Григорович,м.Київ,Kyiv,0.13,15,1380012
Маломуж Микола Григорович,Черкаська,Cherkaska,0.13,14,673734
Маломуж Микола Григорович,Житомирська,Zhytomyrska,0.13,14,659335
Маломуж Микола Григорович,Полтавська,Poltavska,0.13,15,761748
Маломуж Микола Григорович,Харківська,Kharkivska,0.13,16,1033847
Маломуж Микола Григорович,Чернівецька,Chernivetska,0.12,15,431758
Маломуж Микола Григорович,Сумська,Sumska,0.12,15,570645
Маломуж Микола Григорович,Рівненська,Rivnenska,0.11,14,614771
Маломуж Микола Григорович,Чернігівська,Chernihivska,0.11,15,557295
Маломуж Микола Григорович,Київська,Kyivska,0.11,15,996046
Маломуж Микола Григорович,Вінницька,Vinnytska,0.1,13,895219
Маломуж Микола Григорович,Волинська,Volynska,0.09,14,581796
Маломуж Микола Григорович,Івано-Франківська,Ivano-Frankivska,0.08,13,796008
Маломуж Микола Григорович,Львівська,Lvivska,0.07,13,1544016
Маломуж Микола Григорович,Тернопільська,Ternopilska,0.06,13,650087
Порошенко Петро Олексійович,Львівська,Lvivska,69.92,1,1544016
Порошенко Петро Олексійович,Вінницька,Vinnytska,67.32,1,895219
Порошенко Петро Олексійович,Івано-Франківська,Ivano-Frankivska,65.13,1,796008
Порошенко Петро Олексійович,м.Київ,Kyiv,64.1,1,1380012
Порошенко Петро Олексійович,Закарпатська,Zakarpatska,62.02,1,486273
Порошенко Петро Олексійович,Київська,Kyivska,61.67,1,996046
Порошенко Петро Олексійович,Тернопільська,Ternopilska,60.63,1,650087
Порошенко Петро Олексійович,Житомирська,Zhytomyrska,58.64,1,659335
Порошенко Петро Олексійович,Чернівецька,Chernivetska,56.72,1,431758
Порошенко Петро Олексійович,Хмельницька,Khmelnytska,56.26,1,728864
Порошенко Петро Олексійович,Рівненська,Rivnenska,55.46,1,614771
Порошенко Петро Олексійович,Сумська,Sumska,55.4,1,570645
Порошенко Петро Олексійович,Черкаська,Cherkaska,54.61,1,673734
