candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Мороз О.О,Волинська,Volynska,0.53,12,586568
Мороз О.О,Київська,Kyivska,0.52,10,944893
Мороз О.О,Хмельницька,Khmelnytska,0.46,11,748056
Мороз О.О,Харківська,Kharkivska,0.42,11,1455120
Мороз О.О,Рівненська,Rivnenska,0.41,11,623112
Мороз О.О,Тернопільська,Ternopilska,0.39,11,646679
Мороз О.О,Одеська,Odeska,0.34,10,1160126
Мороз О.О,м.Київ,Kyiv,0.28,10,1430356
Мороз О.О,м.Севастополь,Sevastopilska,0.28,12,204145
Мороз О.О,Запорізька,Zaporizka,0.24,12,1010500
Мороз О.О,Миколаївська,Mykolaivska,0.23,11,601126
Мороз О.О,Херсонська,Khersonska,0.23,11,538431
Мороз О.О,Івано-Франківська,Ivano-Frankivska,0.2,13,774146
Мороз О.О,Луганська,Luhanska,0.14,11,1313664
Мороз О.О,Львівська,Lvivska,0.13,12,1475124
Мороз О.О,Дніпропетровська,Dnipropetrovska,0.13,11,1833458
Мороз О.О,Донецька,Donetska,0.1,11,2439002
Мороз О.О,Авт.Респ. Крим,Avtonomna Respublika Krym,0.09,13,981922
Пабат О.В,Полтавська,Poltavska,0.48,11,803708
Пабат О.В,Запорізька,Zaporizka,0.37,11,1010500
Пабат О.В,Авт.Респ. Крим,Avtonomna Respublika Krym,0.34,10,981922
Пабат О.В,м.Севастополь,Sevastopilska,0.26,13,204145
Пабат О.В,Житомирська,Zhytomyrska,0.24,14,691123
Пабат О.В,Харківська,Kharkivska,0.22,12,1455120
Пабат О.В,Одеська,Odeska,0.19,12,1160126
Пабат О.В,м.Київ,Kyiv,0.17,13,1430356
Пабат О.В,Сумська,Sumska,0.15,15,627338
Пабат О.В,Миколаївська,Mykolaivska,0.14,14,601126
Пабат О.В,Чернігівська,Chernihivska,0.13,15,602599
Пабат О.В,Черкаська,Cherkaska,0.12,15,681265
Пабат О.В,Кіровоградська,Kirovohradska,0.12,15,508754
Пабат О.В,Київська,Kyivska,0.11,15,944893
Пабат О.В,Хмельницька,Khmelnytska,0.11,15,748056
Пабат О.В,Херсонська,Khersonska,0.11,14,538431
